Date,AAPL,AMZN,GOOGL,JNJ,JPM,META,MSFT,NVDA,PG,XOM
2015-01-05,-0.028171728471851454,-0.020517290123176934,-0.019053930127121754,-0.006984134978295198,-0.031044783513163532,-0.016061177117163372,-0.00919582560586274,-0.01689017676865523,-0.004754841121255238,-0.027361384588177273
2015-01-06,9.409314492581089e-05,-0.022833334564125174,-0.02467944461112903,-0.0049138047482940594,-0.025928943351141043,-0.013473319701761577,-0.014677225075512501,-0.03031820518243722,-0.004555021373739088,-0.0053162597600932004
2015-01-07,0.014022607921039043,0.010599740338593344,-0.0029409785575679193,0.022075933578360685,0.0015257519963904898,0.0,0.012705498477886934,-0.002605506138142921,0.00524583361890274,0.01013231787306701
2015-01-08,0.03842191856075794,0.0068360190164746815,0.003484238638352233,0.007862896991632118,0.02234669978098691,0.026658174512358634,0.029417940186599933,0.03761746921710629,0.011435301802690034,0.016644950255343405
2015-01-09,0.0010729716038533343,-0.011748610100441481,-0.012211293416261926,-0.01362924696496659,-0.01738717676724011,-0.005628074413772555,-0.00840492599247289,0.004028320572065036,-0.009330453455506094,-0.0014098632219872176
2015-01-12,-0.024640912122152803,-0.018590241168821242,-0.0073095346034224296,-0.0034303484726506683,-0.008594483610652182,-0.01312085211222025,-0.01250281894047267,-0.012537776714158566,-0.0036563945412001475,-0.019218325485829024
2015-01-13,0.008878688635100218,0.0114272047823194,0.009536114520287686,0.0017211772174436923,0.00016996992900031316,-0.003519296397077265,-0.005150244845265384,-0.0015235680901143356,0.004225960430345843,-0.0036530490765810386
2015-01-14,-0.0038104264633355145,-0.00498748937494764,0.008230249052887828,-0.007254881906633481,-0.03450038378279885,-0.002223708848498096,-0.00862821081863474,0.004069110887678029,-0.003432892657775022,-0.0028891180448645803
2015-01-15,-0.027140231844525076,-0.02155010661563239,-0.003794899915240957,-0.014519451731155097,-0.03203627593877234,-0.029234203678888182,-0.010443926771576573,-0.007092101300847697,-0.0014445591633545085,-0.008691786370551902
2015-01-16,-0.007770068286811482,0.013207865973644317,0.012797447465309864,0.015123734545124723,0.017093707214004494,0.015259757843344657,0.016710726766308914,0.018367464366370045,0.015468130954281456,0.024280773262859823
